Hour,Value
00,66.72364177258066
01,65.64243573535609
02,63.56650563101923
03,61.14345608710616
04,60.23177868416386
05,63.17844240817402
06,72.910594631849
07,75.1969962304473
08,76.95188356164384
09,80.70393227617849
10,80.11678945207495
11,79.147565548887
12,83.56612146478219
13,81.04115529627158
14,82.09032812048815
15,79.36615563333996
16,83.91497823360142
17,84.81054749310547
18,86.12850857568978
19,82.79711730261887
20,78.96791636959601
21,75.12744870632393
22,72.22843834154152
23,69.27240641256432
